Row,Time Code,Peak Nr,Component,BGD 44,BGD 45,BGD 46,Ampl  44,Ampl  45,Ampl  46,Area 44,Area 45,Area 46,R 45CO2/44CO2,R 46CO2/44CO2,d 13C/12C,d 18O/16O
36,2022/07/13 16:12:08,6,,1.7,2.0,2.5,1138,1305,1579,22.285,2.557,0.928,0.0119849,0.0040196,0,0
37,2022/07/13 16:20:49,4,,1.6,1.9,2.3,1902,2228,2743,39.488,4.618,1.709,0.0122136,0.0041782,19.012,39.469
37,2022/07/13 16:20:49,5,,2.1,2.4,2.9,1137,1305,1579,22.256,2.554,0.927,0.0119854,0.00402,0.043,0.122
37,2022/07/13 16:20:49,6,,1.8,2.1,2.6,1138,1306,1579,22.286,2.557,0.928,0.0119849,0.0040196,0,0
38,2022/07/13 16:29:28,4,,1.6,1.8,2.2,562,653,818,11.383,1.321,0.497,0.0121191,0.0042164,10.211,48.989
38,2022/07/13 16:29:28,5,,1.5,1.7,2.1,1138,1306,1580,22.28,2.557,0.928,0.0119859,0.0040197,0.092,0.031
38,2022/07/13 16:29:28,6,,1.5,1.7,2.0,1138,1306,1580,22.303,2.56,0.929,0.0119849,0.0040196,0,0
39,2022/07/13 16:38:09,4,,1.5,1.8,2.2,1699,1992,2452,35.448,4.149,1.536,0.0122226,0.0041822,19.774,40.459
39,2022/07/13 16:38:09,5,,2.1,2.3,3.0,1138,1306,1580,22.277,2.557,0.928,0.0119854,0.0040198,0.05,0.055
39,2022/07/13 16:38:09,6,,1.8,2.0,2.5,1138,1306,1579,22.297,2.559,0.929,0.0119849,0.0040196,0,0
40,2022/07/13 16:46:49,4,,1.6,1.8,2.1,1201,1407,1737,24.68,2.889,1.072,0.012222,0.0041933,19.625,43.223
40,2022/07/13 16:46:49,5,,1.8,2.0,2.5,1138,1306,1580,22.266,2.556,0.927,0.0119856,0.0040201,0.065,0.125
40,2022/07/13 16:46:49,6,,1.6,1.9,2.3,1138,1307,1580,22.287,2.558,0.928,0.0119849,0.0040196,0,0
41,2022/07/13 16:55:29,4,,1.5,1.7,2.2,1091,1277,1580,22.495,2.63,0.978,0.0122072,0.0041957,18.275,43.828
41,2022/07/13 16:55:29,5,,1.7,2.0,2.6,1138,1307,1580,22.235,2.553,0.926,0.0119853,0.0040199,0.035,0.078
41,2022/07/13 16:55:29,6,,1.6,1.8,2.4,1138,1306,1580,22.29,2.559,0.928,0.0119849,0.0040196,0,0
42,2022/07/13 17:04:09,4,,1.5,1.8,2.2,1752,2055,2530,36.65,4.291,1.588,0.0122205,0.0041804,19.604,40.02
42,2022/07/13 17:04:09,5,,2.0,2.3,2.9,1138,1307,1581,22.298,2.56,0.929,0.0119842,0.0040195,-0.056,-0.026
42,2022/07/13 17:04:09,6,,1.8,2.0,2.5,1138,1307,1581,22.327,2.563,0.93,0.0119849,0.0040196,0,0
43,2022/07/13 17:12:49,4,,1.5,1.8,2.2,1519,1782,2194,31.317,3.67,1.358,0.0122322,0.0041847,20.616,41.077
43,2022/07/13 17:12:49,5,,1.9,2.2,2.8,1138,1307,1580,22.249,2.554,0.927,0.0119857,0.0040195,0.077,-0.008
43,2022/07/13 17:12:49,6,,1.7,2.0,2.5,1138,1307,1580,22.281,2.558,0.928,0.0119849,0.0040196,0,0
44,2022/07/13 17:21:30,4,,1.6,1.9,2.3,1365,1598,1974,28.191,3.295,1.224,0.0121999,0.0041875,17.698,41.778
44,2022/07/13 17:21:30,5,,1.8,2.0,2.5,1138,1307,1580,22.269,2.557,0.928,0.011986,0.0040196,0.105,0.008
44,2022/07/13 17:21:30,6,,1.7,1.9,2.3,1138,1307,1580,22.305,2.561,0.929,0.0119849,0.0040196,0,0
45,2022/07/13 17:30:11,4,,1.6,1.8,2.3,1275,1495,1846,26.22,3.069,1.139,0.0122189,0.0041899,19.374,42.379
45,2022/07/13 17:30:11,5,,1.8,2.0,2.5,1138,1306,1580,22.241,2.554,0.927,0.0119858,0.0040196,0.083,0.012
45,2022/07/13 17:30:11,6,,1.6,1.9,2.3,1138,1306,1581,22.286,2.559,0.929,0.0119849,0.0040196,0,0
46,2022/07/13 17:38:50,4,,1.6,1.8,2.4,2299,2705,3314,48.072,5.642,2.079,0.0122507,0.0041726,22.375,38.055
46,2022/07/13 17:38:50,5,,2.2,2.5,3.2,1138,1307,1581,22.264,2.557,0.928,0.0119855,0.0040196,0.06,0.015
46,2022/07/13 17:38:50,6,,1.9,2.1,2.6,1138,1307,1581,22.296,2.56,0.929,0.0119849,0.0040196,0,0
47,2022/07/13 17:47:31,4,,1.6,1.9,2.4,377,438,551,7.644,0.887,0.335,0.0121179,0.0042259,10.017,51.363
47,2022/07/13 17:47:31,5,,1.4,1.6,2.0,1138,1307,1580,22.267,2.557,0.928,0.0119857,0.0040197,0.073,0.044
47,2022/07/13 17:47:31,6,,1.5,1.7,2.1,1138,1307,1580,22.283,2.559,0.928,0.0119849,0.0040196,0,0
48,2022/07/13 17:56:11,4,,1.6,1.8,2.3,78,91,115,1.554,0.18,0.068,0.0121101,0.0042498,9.104,57.313
48,2022/07/13 17:56:11,5,,1.3,1.5,1.8,1138,1307,1580,22.256,2.556,0.927,0.011985,0.0040196,0.009,0.021
48,2022/07/13 17:56:11,6,,1.4,1.5,2.0,1138,1307,1581,22.289,2.56,0.929,0.0119849,0.0040196,0,0
49,2022/07/13 18:04:51,4,,1.2,1.4,1.9,1138,1306,1580,22.26,2.557,0.927,0.0119861,0.0040196,0.109,0.01
49,2022/07/13 18:04:51,5,,1.3,1.5,2.0,1137,1306,1579,22.277,2.558,0.928,0.0119849,0.0040196,0,0
